id,title,cluster_label
1673,"나경원, 한동훈 겨냥 ""당은 근조리본 달고 필버, 누군 나홀로 세 과시…...",4
1674,"윤희숙 ""국힘 의원들, 절윤 못할거면 나서지 말라""",3
1679,의원들과 대화하는 나경원 의원,0
1675,"나경원, '송영길 상고 포기'에 ""검찰의 명백한 직무유기""",4
1676,원내대책회의 참석하는 나경원-곽규택,0
1677,"송영길 무죄확정→나경원 ""李대통령, 宋에 축하전화로 檢 압박""",4
1678,"나경원, 대구행 한동훈 겨냥 ""당은 근조리본 다는데 '나홀로 세 과시'""",4
1680,"홍준표 “오세훈 발 빼는 거 보니, 서울시장 선거 해보나마나…”",3
1681,"나경원 ""대통령 논리야말로 시장 외면한 '기적의 논리'…현실은 정반대...",4
1682,"나경원 ""당 위기 속 얄팍한 자기정치에만 매몰…당내 분열은 공멸""",4
1683,나경원 의원과 대화하는 장동혁 대표,0
1684,"서울시장·경기지사에 현역 ‘0’…국민의힘, 경선 흥행 ‘빨간불’",3
1699,"나경원 ""3·1절 기념사, 하메네이 사망 관련 미국 비판한 것"" 주장",4
1685,"나경원 ""작금의 비극, 국힘 구성원 모두에게 책임…무엇이 더 시급한지...",4
1686,"나경원 “""李대통령 ‘국민 집뺏기 엑스’ 20회 넘어…도쿄 벤치마킹해...",4
1687,대화 나누는 김용민·나경원 의원,0
1688,나경원 “광주전남만 좋게 해” 장경태 “尹정권서 더 적극 추진”(종합...,4
1700,발언하는 나경원 의원,0
1689,마감까지 공천신청 안한 오세훈… 吳측 “중대결단 배제 안해”,3
1690,"'박영재 사퇴'에…나경원 ""법왜곡죄 방관 어려웠을 것"" 주진우 ""與, 사법...",4
1691,대화 나누는 장동혁 국민의힘 대표와 나경원 의원,0
1692,"나경원 “이재명 정권, 부동산·주식으로 국민의 눈과 귀 가리며, 완전...",4
1698,중국인 미국인이 한국 정치기사에 댓글 못쓰게 법으로 막자?,1
1693,방미통위 위원 추천안 부결에 항의하는 나경원 의원,0
1694,대화 나누는 서범수 행안위 국민의힘 간사와 나경원 의원,0
1695,질의하는 나경원 의원 [포토],0
1696,발언권 요청하는 나경원,0
1697,나경원 의원과 대화하는 서범수 의원 [포토],0
1701,대화하는 법사위 여당 간사 민주당 김용민 의원과 국민의힘 나경원 의원,0
1702,대화하는 법사위 여당 간사 민주당 김용민 의원과 국민의힘 나경원 의원,0
1703,"檢, ‘송영길 상고 포기’에…나경원 “3·4중 면죄부 완성”비판",4
1704,"나경원·주진우 ""李대통령, 송영길 '무죄 축하전화'로 검찰 압박""",4
1705,"나경원 ""장동혁도, 당내 비판도 아쉬워…당 결속 약화는 與가 원하는 바...",4
1706,천영식 방미통위원 추천안 부결 항의하는 나경원 의원,0
1707,"나경원 ""李대통령 '국민 집뺏기 엑스' 20회 넘어…편가르기·주적때리기...",4
1708,"나경원 ""이 대통령 공소취소 법적 요건 전혀 없어""",4
1709,"나경원 ""李대통령 '국민 집뺏기 엑스' 20회 넘어…편가르기 그만하라""",4
1710,"檢 “통일교, 정동영·나경원·정세균 등 여야 11명에 쪼개기 후원”",1
1711,"자사주 강제소각법·尹 사면 절대금지법법사소위 통과…나경원 등 ""헌법...",4
1712,"나경원 ""李 공소취소? 사법절차 힘으로 비틀어 꺾겠다는 것""",4
1713,"검찰 ""통일교 단체, 행사 섭외 위해 정동영·나경원·정세균 등에 후원...",1
1714,"국민의힘 ""추미애, 이물질 코로나 백신 현안질의 거부…조폭 막가파식 ...",4
1715,오세훈 중대결단 초읽기...서울시장 '국힘후보' 타이틀 표류중,3
1716,"檢 “통일교, 정동영·나경원·정세균 등 11명에 쪼개기 후원” 공소장...",1
1717,"[영상] 김용민-나경원 내란 판결 충돌 ""국힘 해산 토대"" ""국회 해산권 있...",4
1718,나경원 대전·충남통합법 반대 논리가 '강훈식 띄우기'?[노컷브이],4
1719,"나경원 ""국민의 집 뺏기 X가 20회…편 가르기 그만하라""",4
1720,토론회 인사말하는 나경원 의원,0
1721,인사말하는 나경원 국민의힘 의원,0
1722,내란 관련 발언 항의하는 나경원,0
1723,의사진행 발언 신청하는 나경원,0
1724,"윤희숙 ""의총서 '절윤' 못 이끌어내면 문밖 나서지 말라""",3
1725,천영식 추천안 부결 항의하는 나경원,0
1726,"""차은우 장어집, 이하늬 곰탕집""…식당에 기획사 차려 부동산 쇼핑하나",1
1727,"차은우, 법인 통해 강화 토지 대규모 매입…세무조사에 관심 집중",1
1728,"차은우 장어집·이하늬 곰탕집…논란의 '1인 기획사' ""안 하면 바보""",1
1729,"“곰탕집이 기획사 분점?”…이하늬, 차은우 ‘장어집’과 닮은꼴 의혹",1
1730,"“차은우 장어집 이어, 이하늬 곰탕집”…식당에 기획사 차려 부동산 쇼...",1
1731,축구장 3개 규모 땅 샀다…'절세?' 미남 차은우의 부동산 쇼핑,1
1732,"'200억 탈세 의혹' 차은우 1인 법인, 강화도 장어집 일대 5700평 매입",1
1747,[트렌드 키워드] 1인 기획사 탈세 막는다… ‘차은우 방지법’,1
1733,"'탈세 논란' 차은우 법인, 강화도 땅 5730평 매입…축구장 3개 규모",1
1734,"무려 축구장 3개 크기…‘탈세 의혹’ 차은우 1인 기획사, 부동산 매입",1
1735,"'절세 미남?' 차은우, 축구장 3개 규모 부동산 쇼핑…""연예계 최악 탈세...",1
1736,"“차은우, 강화도에 축구장 3개 규모 땅 샀다”…28.5억 들어",1
1737,"“200억 탈세, 더이상 안돼”…‘차은우 방지법’ 발의",1
1738,"'200억' 차은우, '60억' 이하늬…잇단 탈세에 '차은우 방지법' 발의",1
1739,"""연예인 수백억 탈세 막자""…'차은우 방지법' 발의",1
1740,'200억' 탈세의혹 터지더니…국회서 '차은우 방지법' 발의,1
1741,"""200억 탈세, 더는 둘 수 없어""...'차은우 방지법' 발의",1
1742,'200억 탈세' 의혹에...칼 빼든 국회 '차은우 방지법' 추진 [지금이뉴스...,1
1743,"""차은우 200억 탈세? 더 이상 못 참아""…'1인 기획사' 탈세 방지법 발의",1
1744,차은우 ‘200억’·이하늬 ‘60억’ 탈세 논란에...‘차은우 방지법’ 발...,1
1745,연예계 잇달아 수백억대 탈세...국회 '차은우 방지법' 추진,1
1746,"잘나가면 조사?...""차은우, 200억 내라"" 세금 추징에 업계 반발한 이유",1
1748,"납세자연맹, 차은우 과세정보 유출 세무공무원·기자 고발",2
1749,"""故이선균 사례 반복 안돼""…차은우 정보 유출자 고발한 시민단체",2
1750,"[자막뉴스] ""차은우 민감 정보 어떻게 유출?"" 최초 보도기자·공무원 고...",2
1751,"“엄연한 사생활 침해”…납세자연맹, 차은우 과세정보 유출자 고발",2
1752,"""이선균 사례 잊었나""…시민단체, '차은우 탈세' 흘린 공무원 고발",2
1753,"'차은우 정보' 유출 공무원·기자 고발 단체, 2011년에도 했었다",2
1754,해외 유명인과 있어도 안 꿀릴 스타? '200억 탈세' 차은우 4위,1
1755,"""故 이선균 사례 반복 안돼""…차은우 과세정보 유출 공무원·기자 고발...",2
1756,"""故이선균 사례 반복 안돼""…'탈세 의혹' 차은우 정보 유출자 고발한 시...",2
1757,"""차은우 정보 어떻게 유출?"" 최초 보도 기자·세무 공무원 고발 당해",2
1758,"“차은우 과세정보 유출은 불법”…납세자연맹, 유출자 고소 나선다",2
1759,“200억 탈세 의혹 차은우 과세 정보 유출한 공무원·기자 처벌해달라”...,2
1760,"""이선균 사례 반복 안 돼""⋯납세자연맹, 차은우 정보 유출 공무원·기자...",2
1761,"""차은우 과세정보 유출""...납세자연맹, 세무공무원·기자 고발",2
1762,"“기자·공무원 처벌해달라”…납세자연맹, 차은우 과세정보 유출자 고...",2
1763,차은우는 억울하다…K-컬처 산업 흐름 못 따라가는 세무행정,1
1764,"""故이선균 사례 벌써 잊었나""…'차은우 탈세정보 유출' 공무원·기자 고...",2
1765,"""이선균 사례 또 안 돼""…납세자연맹, 차은우 정보 유출 관계자 고발",2
1766,"[박재혁의 세무이야기] 차은우 200억 원, 사적 자치와 실질과세의 경계",1
1767,"납세자연맹, 차은우 정보 유출 공무원·기자 고발",2
1768,"“故이선균 사례 반복 안돼”...시민단체, ‘차은우 탈세’ 흘린 공무원...",2
